numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;18.3;2020-01-13;parcelas_037be71c-7374-43d4-9d8f-6f735d856552.csv
1;66.7;2020-05-12;parcelas_03815eab-70b9-4292-af54-47e79f878f0f.csv
1;51519.02;2020-09-11;parcelas_039031f1-6c0e-4f9d-9102-f4885a29397d.csv
1;200000;2020-07-07;parcelas_039663b1-a04f-4033-8224-9b0ca6b58a86.csv
1;2275;2020-04-29;parcelas_039762e2-2604-462c-ad54-3b8ac051dac3.csv
1;36810.35;2019-12-30;parcelas_0399251d-f6ed-461a-890c-7f5af74faded.csv
1;79.79;2020-10-26;parcelas_039957ab-18f2-4c03-a891-9b93b127f4d5.csv
1;311.14;2020-11-13;parcelas_039bf601-ac86-48d3-b6be-643d31ba643c.csv
1;92304.62;2020-06-26;parcelas_03a40f35-3b70-44db-ae0a-ca84114941b3.csv
1;36692.24;2020-02-17;parcelas_03a44288-ab84-40ce-a29d-44ca22c363fd.csv
1;13173.95;2020-01-08;parcelas_03a4996d-cc72-48c3-90fe-542616662a7e.csv
1;11258.65;2020-11-27;parcelas_03a4d9f6-6a28-4721-8159-559a69f32680.csv
1;66.7;2020-01-02;parcelas_03a5b231-61d7-4fbf-ab94-fea5d9bd07ea.csv
1;97.95;2020-06-01;parcelas_03a6433e-13c5-4e60-9458-8de7a2107bc2.csv
1;3000;2020-10-16;parcelas_03a6e00a-c83e-4557-8935-e931190b549b.csv
1;3000;2020-12-15;parcelas_03a9e6ea-d06d-4b67-8d49-8b7f5b251463.csv
1;85467.98;2020-05-29;parcelas_03b38e91-d01d-4b5d-8bbb-7a1ff30b10fb.csv
1;44005;2020-06-16;parcelas_03c1c906-6fb0-4e00-8576-236a0b098eca.csv
1;988.9;2020-08-31;parcelas_03c7d89e-0fad-4532-a9ea-5ac150d3925f.csv
1;1135.35;2020-11-03;parcelas_03c91e7b-0310-493f-85f2-de87a3ef7fb0.csv
1;17944.45;2020-09-23;parcelas_03d82932-1f71-4abc-8c37-4314da60163e.csv
1;4050;2020-02-18;parcelas_03da20f7-454e-450e-948a-7d4b81f9cf73.csv
1;40000;2020-05-05;parcelas_03df9c45-d3b9-4f0f-aaec-aae1fd9319b3.csv
1;354.16;2020-09-24;parcelas_03e00b5f-808c-4c12-8992-6493f25adce6.csv
1;9740.5;2020-02-26;parcelas_03e041a1-db35-4ebd-a94f-e2d7eb402c14.csv
1;324;2020-03-02;parcelas_03e16da2-4a62-4dd7-aa29-e9f41cc2bac2.csv
1;598.5;2020-04-29;parcelas_03e4b3b1-71b5-4a56-baf6-766f457dee6a.csv
1;54.03;2020-08-03;parcelas_03ef48f9-c88c-4673-a7a1-64d7c44a4d50.csv
1;20556.16;2020-03-11;parcelas_03f02e3d-3f26-4f79-a2cd-eb599422d649.csv
1;1140;2020-02-10;parcelas_03f27029-cb63-40d8-aff2-9941e4cf98b4.csv
1;776.58;2020-06-26;parcelas_03f5d219-4576-4dc5-b6db-e28b732271ad.csv
1;2055;2020-07-13;parcelas_03f72470-9ef3-411b-b6c8-c04424c92eaa.csv
1;148.2;2020-07-14;parcelas_03fd1dd0-4fba-4079-8261-e188c5c2b601.csv
1;148336.82;2020-05-01;parcelas_03fdc981-14f0-4b08-b5e0-6b7bf2cc0c71.csv
1;17;2020-11-03;parcelas_04025be7-d9fd-4af9-8d78-4e6968e342f2.csv
1;50000;2020-02-05;parcelas_04042836-c453-4b01-99e9-9600c7ac1d68.csv
1;2721.25;2020-01-29;parcelas_0406a0a0-2430-4432-9752-ac76b21d4e83.csv
1;41.8;2020-07-13;parcelas_0408220e-18b5-4187-b604-2ee4a6362d94.csv
1;82453.13;2020-06-26;parcelas_04109e9f-c1ee-443f-8020-f2b3857f910c.csv
1;82000;2020-08-27;parcelas_04186483-46b4-4323-ae25-4b73732fc89d.csv
1;47189.72;2020-10-28;parcelas_04193f1b-b089-4bed-bfce-d12bf902d1cc.csv
1;79.79;2020-09-22;parcelas_041bd444-3b7b-4432-ba40-647bac8b90a1.csv
1;4726.13;2020-09-22;parcelas_041c4ab8-3ffc-47ab-986f-5cdab45b1ec4.csv
1;30000;2020-01-02;parcelas_04214b61-d2fe-4b3f-9d16-1dd33f9f1001.csv
1;3166.66;2020-04-30;parcelas_0421ee8b-2e0f-410a-b130-4a6e424b9928.csv
1;293162.02;2018-12-31;parcelas_0425f205-e4c8-45a4-a2b7-229d76639499.csv
1;76173.19;2020-04-29;parcelas_04277cee-05aa-4d6d-a883-9d92ab982d83.csv
1;91894.56;2020-02-26;parcelas_0428c8e7-d9de-46b3-b615-6e2caf754940.csv
1;654;2020-01-23;parcelas_04337877-3466-436a-b1ae-c9d08432afca.csv
1;2187.5;2020-04-29;parcelas_04377f80-bc5c-4507-919e-2bbfa7f6f1b0.csv
1;33261.18;2018-12-31;parcelas_04391e9e-d7aa-433e-b954-bb1c15d64d1a.csv
