idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
283;2019-03-01;1;1218.8;0; ; ;liquidacoes_90d44d73-d994-4c4d-9a0e-146ee72511e9.csv
995;2019-03-29;1;680341.4;0; ; ;liquidacoes_90deb5f9-d785-401d-b5bb-e62bee41d827.csv
2862;2019-04-12;1;121.38;0; ; ;liquidacoes_90e4849c-b92d-4d6d-8adc-6207a41211a5.csv
1386;2019-04-08;1;3180.72;0; ; ;liquidacoes_90e586fb-9f83-4dde-a970-6087ccc26b12.csv
5390;2019-06-27;1;86094.67;0; ; ;liquidacoes_90e5d2a1-80fa-4194-add5-283fa0dd0606.csv
2865;2019-06-28;1;604.59;0; ; ;liquidacoes_90efd92c-4146-4999-b943-e88fee8183ec.csv
8608;2019-10-03;1;36.73;0; ; ;liquidacoes_90f026bb-cfda-4790-bead-270694bc2579.csv
5704;2019-07-11;1;43148.51;0; ; ;liquidacoes_90f15481-921b-4a30-a5c9-a274cbe10ebd.csv
6286;2019-07-26;1;4545.42;0; ; ;liquidacoes_90f39fbf-4658-4563-8acd-4516ab380763.csv
5813;2019-06-28;1;25236.46;0; ; ;liquidacoes_90f52a77-1f41-4955-a70f-10ef7638a722.csv
6195;2019-07-26;1;714547.71;0; ;retencoesLiquidacao_f658b290-8240-4ed4-97b8-cca0bba410f0.csv;liquidacoes_90f63994-3174-444c-a629-e7b998ba4567.csv
329;2019-02-04;1;5535;0; ; ;liquidacoes_90f6ae00-469f-464b-91e1-d967c716b359.csv
7486;2019-08-27;1;1925;0; ; ;liquidacoes_90fd9814-8ec4-4210-a694-0c660d368c88.csv
2168;2019-03-22;1;1401.8;0; ; ;liquidacoes_90fe8ec7-91d7-4c14-9efd-fa3f509bb283.csv
2443;2019-04-03;1;900;0; ; ;liquidacoes_90ff3e5a-0b91-48f3-a348-d3d783dd6be8.csv
5947;2019-12-17;1;42000;0; ; ;liquidacoes_9105c8ef-e05d-4d1e-a2b6-2f2ad5b46c87.csv
10014;2019-10-31;1;5207.19;0; ; ;liquidacoes_910eeca2-ff9f-48e5-baeb-a10fd9582e45.csv
2782;2019-06-17;1;117;0; ;retencoesLiquidacao_2c110285-a405-4be2-b252-64a8dc77279e.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
3580;2019-08-12;1;117;0; ;retencoesLiquidacao_177d8924-66dd-493e-b858-12a453bccace.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
3853;2019-08-28;1;117;0; ;retencoesLiquidacao_695b0c60-4531-443c-b905-72d2d8fc5886.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
4335;2019-09-27;1;117;0; ;retencoesLiquidacao_d43e9be7-b078-4a4e-8cbc-3c455e7da881.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
