descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
4197031810 BUCHA;1298351;2574;2;ATIVO;UNIDADE;188.96;94.48;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4244612172 BUCHA;1298352;2560;2;ATIVO;UNIDADE;1762.98;881.49;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4196435102  VALVULA;1298353;2546;1;ATIVO;UNIDADE;3909.24;3909.24;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
705618442 TELA;1298377;2509;1;ATIVO;UNIDADE;247.77;247.77;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4190332122 MANGUEIRA;1298378;2504;4;ATIVO;UNIDADE;1048.12;262.03;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
4191231110 ACOPLAMENTO;1298379;2499;1;ATIVO;UNIDADE;1771.89;1771.89;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
6008616420 ALTERNADOR;1298380;2496;1;ATIVO;UNIDADE;1506.29;1506.29;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
6736216110 COLETOR;1298381;2485;1;ATIVO;UNIDADE;381.47;381.47;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
HX23L06220CB	MANGUEIRA;1298385;192;1;ATIVO;UNIDADE;174.02;174.02;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
ZD11G19000 ANEL - FILTRO RET. HID. (SUPERIOR);1298386;184;7;ATIVO;UNIDADE;406.98;58.14;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
ZX30H12140 MANGUEIRA;1298387;207;1;ATIVO;UNIDADE;408.9;408.9;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
237-6012 ANEL;1298388;210;6;ATIVO;UNIDADE;10.2;1.7;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
ZD12P03400 ANEL;1298390;253;7;ATIVO;UNIDADE;91.07;13.01;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
YM12B01068P1 Pino;1298391;261;2;ATIVO;UNIDADE;1512.98;756.49;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
ZD12P02400 Anel;1298392;279;6;ATIVO;UNIDADE;80.34;13.39;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
YN02C01794P1	VIDRO;1298393;229;1;ATIVO;UNIDADE;1869.31;1869.31;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
YN02C01825P1	RETENTOR;1298394;231;1;ATIVO;UNIDADE;137.43;137.43;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
ZN16C20016 PORCA;1298395;247;4;ATIVO;UNIDADE;22.48;5.62;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
